aan de grond;abnormal
aandoening;abolish
aangeklaagd;abominable
aangetast;abominably
aanklacht;abominate
aanklagen;abomination
aanklagend;abrade
aanknoelen;abrasive
aanmatigend;abrupt
aanprijzen;abruptly
aansporen;abscond
aansporend;absence
aansprakelijk;absentee
aansprakelijkheid;absent-minded
aanspreken;absurd
aanstellerig;absurdity
aanstichter;absurdly
aanstichters;absurdness
aantasten;abuse
aantastend;abused
aanval;abuses
aanvallen;abusive
aanvaller;abysmal
aanzetten;abysmally
aarzelend;abyss
abnormaal;accidental
abominabel;accost
abrupt;accursed
absurd;accusation
absurditeit;accusations
accusatie;accuse
achtbaan;accuses
achteloos;accusing
achterblijven;accusingly
achterblijvend;acerbate
achterblijver;acerbic
achtergebleven;acerbically
achterhaald;ache
achterland;ached
achterlijk;aches
achterlijkheid;achey
achterlopend;aching
achterstallig;acrid
achterstand;acridly
achterstevoren;acridness
achteruitgaand;acrimonious
achteruitgang;acrimoniously
achterwaarts;acrimony
afbraak;adamant
afbreken;adamantly
afbrokkelen;addict
afbrokkelend;addicted
afdingen;addicting
afdoen;addicts
afgebroken;admonish
afgedaan;admonisher
afgeleid;admonishingly
afgeraffeld;admonishment
afgesloten;admonition
afgestoten;adulterate
afgevoerd;adulterated
afgewezen;adulteration
afgezaagd;adulterier
afgezwakt;adversarial
afgrond;adversary
afgrondelijk;adverse
afgunstig;adversity
afgunstigheid;afflict
afkeer;affliction
afkerig;afflictive
afkeuren;affront
afkeurend;afraid
afkeuring;aggravate
afleiden;aggravating
afleidend;aggravation
afleiding;aggression
afname;aggressive
afnemen;aggressiveness
afnemend;aggressor
afpersen;aggrieve
afpersing;aggrieved
afraden;aggrivation
afranselen;aghast
afranseling;agonies
afschaffen;agonize
afschrikken;agonizing
afschrikking;agonizingly
afschrikmiddel;agony
afschrikwekkend;aground
afschuw;ail
afschuwelijk;ailing
afschuwelijkheid;ailment
afsluiten;aimless
afsluitend;alarm
afstandelijk;alarmed
afstorten;alarming
afstotelijk;alarmingly
afstotelijkheid;alienate
afstoten;alienated
afstraffen;alienation
